termino,idf_score
godzilla,6.114942623769424
fincher,5.513602992462601
toro,5.448463690291639
mckay,5.421795443209478
reina,5.387309267138309
black mirror,5.370502148821927
snyder,5.353972846870717
mirror,5.337712325998937
as,5.267644763382219
profesor,5.202166834002713
sorogoyen,5.167561304825237
zahera,5.140714054789049
supervivencia,5.108137884354437
western,5.095398858577007
nieve,5.089089689383742
black,5.089089689383742
lawrence,5.089089689383742
detective,5.0828200763701465
manga,5.076589526619511
monstruo,5.076589526619511
investigacion,5.076589526619511
canciones,5.064243690797211
in,5.058127463779775
directora,5.052048417703393
hermano,5.04600610324743
venganza,5.04600610324743
tragedia,5.040000079187219
remake,5.022195454553712
negra,5.022195454553712
romantica,5.016330335101314
casa papel,5.016330335101314
aquello,5.004702297106195
premios,5.004702297106195
moda,5.004702297106195
2021,5.004702297106195
redes sociales,4.998938592389445
dolor,4.987509896565822
cambios,4.987509896565822
musical,4.981844159030144
material,4.981844159030144
pienso,4.981844159030144
demuestra,4.981844159030144
clara,4.981844159030144
lugares,4.976210341311889
doy,4.970608085763219
seres,4.970608085763219
plantea,4.970608085763219
tratar,4.970608085763219
generos,4.965037040713764
obviamente,4.965037040713764
creadores,4.965037040713764
cuya,4.959496860338148
secuencia,4.959496860338148
cinematografica,4.948507738762553
dramatica,4.948507738762553
importantes,4.948507738762553
hacerlo,4.943058133994988
realismo,4.943058133994988
impresionante,4.937638066525649
similar,4.937638066525649
super,4.937638066525649
narra,4.937638066525649
naturaleza,4.932247217890772
necesita,4.932247217890772
tematica,4.932247217890772
relleno,4.932247217890772
consiguen,4.932247217890772
agradece,4.932247217890772
conocido,4.932247217890772
motivo,4.926885274749386
error,4.926885274749386
normal,4.926885274749386
sirve,4.926885274749386
logrado,4.921551928774024
podria ser,4.921551928774024
puntuacion,4.921551928774024
pura,4.921551928774024
agradable,4.921551928774024
ojo,4.9162468765443315
cuentan,4.9162468765443315
mirada,4.9162468765443315
cultura,4.9162468765443315
tecnica,4.9162468765443315
lastima,4.9162468765443315
evolucion,4.910969819443487
quieres,4.910969819443487
primera parte,4.910969819443487
palabras,4.910969819443487
sola,4.910969819443487
tomar,4.910969819443487
acontecimientos,4.905720463557344
paisajes,4.905720463557344
divertido,4.905720463557344
documental,4.905720463557344
apuesta,4.9004985195761925
caracter,4.9004985195761925
pequenos,4.9004985195761925
interpreta,4.895303702699088
david,4.895303702699088
entretener,4.895303702699088
