,precision,recall,f1-score,support
aclaracion_calificacion,1.0,1.0,1.0,4.0
consulta-proyecto,0.0,0.0,0.0,1.0
consulta_concepto,0.8333333333333334,1.0,0.9090909090909091,5.0
consulta_horario,1.0,1.0,1.0,5.0
consulta_proyecto,0.6666666666666666,0.6666666666666666,0.6666666666666666,3.0
entrega_actividad,1.0,1.0,1.0,5.0
saludo_cierre,1.0,1.0,1.0,4.0
soporte_tecnico,1.0,1.0,1.0,5.0
tramite_administrativo,1.0,1.0,1.0,4.0
accuracy,0.9444444444444444,0.9444444444444444,0.9444444444444444,0.9444444444444444
macro avg,0.8333333333333334,0.8518518518518517,0.8417508417508418,36.0
weighted avg,0.9212962962962964,0.9444444444444444,0.9318181818181819,36.0
