,precision,recall,f1-score,support
aclaracion_calificacion,1.0,0.75,0.8571428571428571,4.0
consulta_concepto,1.0,1.0,1.0,4.0
consulta_horario,1.0,1.0,1.0,5.0
consulta_proyecto,1.0,1.0,1.0,5.0
entrega_actividad,1.0,1.0,1.0,5.0
saludo_cierre,1.0,0.5,0.6666666666666666,4.0
soporte_tecnico,1.0,1.0,1.0,5.0
tramite_administrativo,0.5714285714285714,1.0,0.7272727272727273,4.0
accuracy,0.9166666666666666,0.9166666666666666,0.9166666666666666,0.9166666666666666
macro avg,0.9464285714285714,0.90625,0.9063852813852813,36.0
weighted avg,0.9523809523809523,0.9166666666666666,0.9167869167869169,36.0
