,precision,recall,f1-score,support
cancelacion,1.0,1.0,1.0,20.0
consulta-informacion,0.0,0.0,0.0,4.0
consulta_informacion,0.8,1.0,0.8888888888888888,16.0
pago,1.0,1.0,1.0,20.0
soporte_tecnico,0.9523809523809523,1.0,0.975609756097561,20.0
tramite,1.0,0.95,0.9743589743589743,20.0
urgencia,1.0,1.0,1.0,20.0
accuracy,0.9583333333333334,0.9583333333333334,0.9583333333333334,0.9583333333333334
macro avg,0.8217687074829932,0.85,0.8341225170493463,120.0
weighted avg,0.932063492063492,0.9583333333333334,0.943513306927941,120.0
